text,emotion
I am feeling stressed,stress
I am feeling stressed!,stress
very i am feeling stressed,stress
work pressure is too much,stress
work pressure is too much!,stress
very work pressure is too much,stress
मुझे तनाव है,stress
मुझे तनाव है!,stress
very मुझे तनाव है,stress
too many responsibilities,stress
too many responsibilities!,stress
very too many responsibilities,stress
overwhelmed with work,stress
overwhelmed with work!,stress
very overwhelmed with work,stress
तनाव से परेशान हूँ,stress
तनाव से परेशान हूँ!,stress
very तनाव से परेशान हूँ,stress
can't handle this,stress
can't handle this!,stress
very can't handle this,stress
burned out,stress
burned out!,stress
very burned out,stress
काम का दबाव बहुत है,stress
काम का दबाव बहुत है!,stress
very काम का दबाव बहुत है,stress
stressed out,stress
stressed out!,stress
very stressed out,stress
feeling overwhelmed,stress
feeling overwhelmed!,stress
very feeling overwhelmed,stress
tension ho rahi hai,stress
tension ho rahi hai!,stress
very tension ho rahi hai,stress
deadline pressure,stress
deadline pressure!,stress
very deadline pressure,stress
too many tasks,stress
too many tasks!,stress
very too many tasks,stress
feeling exhausted,stress
feeling exhausted!,stress
very feeling exhausted,stress
I feel anxious,anxiety
I feel anxious!,anxiety
very i feel anxious,anxiety
worried about future,anxiety
worried about future!,anxiety
very worried about future,anxiety
मुझे चिंता हो रही है,anxiety
मुझे चिंता हो रही है!,anxiety
very मुझे चिंता हो रही है,anxiety
fear is taking over,anxiety
fear is taking over!,anxiety
very fear is taking over,anxiety
can't stop worrying,anxiety
can't stop worrying!,anxiety
very can't stop worrying,anxiety
भविष्य की चिंता है,anxiety
भविष्य की चिंता है!,anxiety
very भविष्य की चिंता है,anxiety
overthinking,anxiety
overthinking!,anxiety
very overthinking,anxiety
panic,anxiety
panic!,anxiety
very panic,anxiety
डर लग रहा है,anxiety
डर लग रहा है!,anxiety
very डर लग रहा है,anxiety
nervous,anxiety
nervous!,anxiety
very nervous,anxiety
restless,anxiety
restless!,anxiety
very restless,anxiety
anxiety ho rahi hai,anxiety
anxiety ho rahi hai!,anxiety
very anxiety ho rahi hai,anxiety
I am overthinking everything,anxiety
I am overthinking everything!,anxiety
very i am overthinking everything,anxiety
feeling nervous,anxiety
feeling nervous!,anxiety
very feeling nervous,anxiety
heart is racing,anxiety
heart is racing!,anxiety
very heart is racing,anxiety
I need motivation,motivation
I need motivation!,motivation
very i need motivation,motivation
feeling like giving up,motivation
feeling like giving up!,motivation
very feeling like giving up,motivation
प्रेरणा चाहिए,motivation
प्रेरणा चाहिए!,motivation
very प्रेरणा चाहिए,motivation
lost my drive,motivation
lost my drive!,motivation
very lost my drive,motivation
can't find energy,motivation
can't find energy!,motivation
very can't find energy,motivation
हिम्मत हार रहा हूँ,motivation
हिम्मत हार रहा हूँ!,motivation
very हिम्मत हार रहा हूँ,motivation
want to succeed,motivation
want to succeed!,motivation
very want to succeed,motivation
need inspiration,motivation
need inspiration!,motivation
very need inspiration,motivation
उठना है आगे बढ़ना है,motivation
उठना है आगे बढ़ना है!,motivation
very उठना है आगे बढ़ना है,motivation
demotivated,motivation
demotivated!,motivation
very demotivated,motivation
no will power,motivation
no will power!,motivation
very no will power,motivation
give me strength,motivation
give me strength!,motivation
very give me strength,motivation
need a push,motivation
need a push!,motivation
very need a push,motivation
stay motivated,motivation
stay motivated!,motivation
very stay motivated,motivation
keep going,motivation
keep going!,motivation
very keep going,motivation
confused,confusion
confused!,confusion
very confused,confusion
don't know what to do,confusion
don't know what to do!,confusion
very don't know what to do,confusion
समझ नहीं आ रहा,confusion
समझ नहीं आ रहा!,confusion
very समझ नहीं आ रहा,confusion
feeling lost,confusion
feeling lost!,confusion
very feeling lost,confusion
can't decide,confusion
can't decide!,confusion
very can't decide,confusion
सही रास्ता क्या है,confusion
सही रास्ता क्या है!,confusion
very सही रास्ता क्या है,confusion
uncertain,confusion
uncertain!,confusion
very uncertain,confusion
need clarity,confusion
need clarity!,confusion
very need clarity,confusion
निर्णय नहीं ले पा रहा,confusion
निर्णय नहीं ले पा रहा!,confusion
very निर्णय नहीं ले पा रहा,confusion
directionless,confusion
directionless!,confusion
very directionless,confusion
foggy mind,confusion
foggy mind!,confusion
very foggy mind,confusion
which path to choose,confusion
which path to choose!,confusion
very which path to choose,confusion
decision paralysis,confusion
decision paralysis!,confusion
very decision paralysis,confusion
unsure about future,confusion
unsure about future!,confusion
very unsure about future,confusion
feeling happy,happiness
feeling happy!,happiness
very feeling happy,happiness
life is wonderful,happiness
life is wonderful!,happiness
very life is wonderful,happiness
बहुत खुश हूँ,happiness
बहुत खुश हूँ!,happiness
very बहुत खुश हूँ,happiness
joyful,happiness
joyful!,happiness
very joyful,happiness
grateful,happiness
grateful!,happiness
very grateful,happiness
आज बहुत अच्छा दिन है,happiness
आज बहुत अच्छा दिन है!,happiness
very आज बहुत अच्छा दिन है,happiness
great mood,happiness
great mood!,happiness
very great mood,happiness
blessed,happiness
blessed!,happiness
very blessed,happiness
खुशी से भर गया हूँ,happiness
खुशी से भर गया हूँ!,happiness
very खुशी से भर गया हूँ,happiness
content,happiness
content!,happiness
very content,happiness
peaceful,happiness
peaceful!,happiness
very peaceful,happiness
मन प्रसन्न है,happiness
मन प्रसन्न है!,happiness
very मन प्रसन्न है,happiness
how to live well,general
how to live well!,general
very how to live well,general
seeking wisdom,general
seeking wisdom!,general
very seeking wisdom,general
जीवन कैसे जियूँ,general
जीवन कैसे जियूँ!,general
very जीवन कैसे जियूँ,general
guide me,general
guide me!,general
very guide me,general
need advice,general
need advice!,general
very need advice,general
आध्यात्मिक मार्गदर्शन चाहिए,general
आध्यात्मिक मार्गदर्शन चाहिए!,general
very आध्यात्मिक मार्गदर्शन चाहिए,general
meaning of life,general
meaning of life!,general
very meaning of life,general
inner peace,general
inner peace!,general
very inner peace,general
मानसिक शांति कैसे पाऊँ,general
मानसिक शांति कैसे पाऊँ!,general
very मानसिक शांति कैसे पाऊँ,general
spiritual guidance,general
spiritual guidance!,general
very spiritual guidance,general
life advice,general
life advice!,general
very life advice,general
wellness tips,general
wellness tips!,general
very wellness tips,general
"धृतराष्ट्र बोले- हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छावाले मेरे और पाण्डु के पुत्रों ने क्या किया?",general
"Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings.",general
संजय बोले- उस समय राजा दुर्योधन ने व्यूहरचनायुक्त पाण्डवों की सेना को देखा और द्रोणाचार्य के पास जाकर यह वचन कहा|,general
