text,emotion,type
I am feeling stressed,stress,pattern
I am feeling stressed?,stress,pattern
Very i am feeling stressed,stress,pattern
work pressure is too much,stress,pattern
work pressure is too much?,stress,pattern
Very work pressure is too much,stress,pattern
मुझे तनाव है,stress,pattern
मुझे तनाव है?,stress,pattern
Very मुझे तनाव है,stress,pattern
too many responsibilities,stress,pattern
too many responsibilities?,stress,pattern
Very too many responsibilities,stress,pattern
overwhelmed with work,stress,pattern
overwhelmed with work?,stress,pattern
Very overwhelmed with work,stress,pattern
तनाव से परेशान हूँ,stress,pattern
तनाव से परेशान हूँ?,stress,pattern
Very तनाव से परेशान हूँ,stress,pattern
can't handle this,stress,pattern
can't handle this?,stress,pattern
Very can't handle this,stress,pattern
burned out from work,stress,pattern
burned out from work?,stress,pattern
Very burned out from work,stress,pattern
काम का दबाव बहुत है,stress,pattern
काम का दबाव बहुत है?,stress,pattern
Very काम का दबाव बहुत है,stress,pattern
I feel anxious about future,anxiety,pattern
I feel anxious about future?,anxiety,pattern
Very i feel anxious about future,anxiety,pattern
worried about tomorrow,anxiety,pattern
worried about tomorrow?,anxiety,pattern
Very worried about tomorrow,anxiety,pattern
मुझे चिंता हो रही है,anxiety,pattern
मुझे चिंता हो रही है?,anxiety,pattern
Very मुझे चिंता हो रही है,anxiety,pattern
fear is taking over,anxiety,pattern
fear is taking over?,anxiety,pattern
Very fear is taking over,anxiety,pattern
can't stop worrying,anxiety,pattern
can't stop worrying?,anxiety,pattern
Very can't stop worrying,anxiety,pattern
भविष्य की चिंता है,anxiety,pattern
भविष्य की चिंता है?,anxiety,pattern
Very भविष्य की चिंता है,anxiety,pattern
overthinking everything,anxiety,pattern
overthinking everything?,anxiety,pattern
Very overthinking everything,anxiety,pattern
panic attacks,anxiety,pattern
panic attacks?,anxiety,pattern
Very panic attacks,anxiety,pattern
डर लग रहा है,anxiety,pattern
डर लग रहा है?,anxiety,pattern
Very डर लग रहा है,anxiety,pattern
I need motivation,motivation,pattern
I need motivation?,motivation,pattern
Very i need motivation,motivation,pattern
feeling like giving up,motivation,pattern
feeling like giving up?,motivation,pattern
Very feeling like giving up,motivation,pattern
प्रेरणा चाहिए,motivation,pattern
प्रेरणा चाहिए?,motivation,pattern
Very प्रेरणा चाहिए,motivation,pattern
lost my drive to succeed,motivation,pattern
lost my drive to succeed?,motivation,pattern
Very lost my drive to succeed,motivation,pattern
can't find energy,motivation,pattern
can't find energy?,motivation,pattern
Very can't find energy,motivation,pattern
हिम्मत हार रहा हूँ,motivation,pattern
हिम्मत हार रहा हूँ?,motivation,pattern
Very हिम्मत हार रहा हूँ,motivation,pattern
want to achieve but can't start,motivation,pattern
want to achieve but can't start?,motivation,pattern
Very want to achieve but can't start,motivation,pattern
need inspiration,motivation,pattern
need inspiration?,motivation,pattern
Very need inspiration,motivation,pattern
उठना है आगे बढ़ना है,motivation,pattern
उठना है आगे बढ़ना है?,motivation,pattern
Very उठना है आगे बढ़ना है,motivation,pattern
confused about my path,confusion,pattern
confused about my path?,confusion,pattern
Very confused about my path,confusion,pattern
