chapter,verse,sanskrit,hindi,english,explanation,emotion,source
2,47.0,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन,"तुम्हें केवल कर्म करने का अधिकार है, फलों में कभी नहीं","You have right to perform actions, never to fruits of actions","तनाव से मुक्ति का सूत्र - फल की चिंता छोड़ो, बस कर्म करो",stress,Bhagavad Gita
6,17.0,युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु,"संतुलित आहार, विहार, कर्म और नींद वाला व्यक्ति","One with balanced eating, sleeping, work and recreation","तनाव कम करने के लिए दिनचर्या संतुलित रखो - खाना, सोना, काम सब नियमित करो",stress,Bhagavad Gita
2,14.0,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः,"सर्दी-गर्मी, सुख-दुःख तो आने-जाने वाले हैं","Cold-heat, pleasure-pain are temporary, O Arjuna","तनाव और सुख अस्थायी हैं - इन्हें सहन करना सीखो, घबराओ मत",stress,Bhagavad Gita
2,56.0,दुःखेष्वनुद्विग्नमनाः सुखेषु विगतस्पृहः,"दुःख में जो विचलित नहीं होता, सुख में जो आसक्त नहीं","One not disturbed in misery, nor attached to happiness",चिंता तब होती है जब मन अस्थिर हो - समता सीखो,anxiety,Bhagavad Gita
6,35.0,असंशयं महाबाहो मनो दुर्निग्रहं चलम्,"हे अर्जुन, मन चंचल है परंतु अभ्यास से वश में हो सकता है","Mind is restless but can be controlled by practice, O Arjuna","चिंता और बेचैनी पर काबू पाने के लिए नियमित अभ्यास करो - ध्यान, योग, प्राणायाम",anxiety,Bhagavad Gita
4,40.0,अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति,संशयग्रस्त व्यक्ति न तो इस लोक में सुखी होता है न परलोक में,The doubting soul has no happiness in this world or next,चिंता और संशय सुख नहीं देते - विश्वास रखो और आगे बढ़ो,anxiety,Bhagavad Gita
2,3.0,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते,"हे पार्थ, कायरता मत दिखाओ, यह तुझे शोभा नहीं देती","Do not yield to unmanliness, O Arjuna, it does not become you","हिम्मत मत हारो! उठो, जागो और अपने लक्ष्य की ओर बढ़ो",motivation,Bhagavad Gita
11,33.0,तस्मात्त्वमुत्तिष्ठ यशो लभस्व,इसलिए तू उठ खड़ा हो और यश प्राप्त कर,Therefore arise and attain glory,प्रेरणा चाहिए? उठो और कर्म करो! सफलता तुम्हारा इंतज़ार कर रही है,motivation,Bhagavad Gita
3,21.0,यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः,"श्रेष्ठ व्यक्ति जैसा करता है, दूसरे वैसा ही करते हैं","Whatever a great man does, others follow","तुम बदलाव ला सकते हो - खुद बनो प्रेरणा, दूसरे तुम्हारा अनुसरण करेंगे",motivation,Bhagavad Gita
4,34.0,तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया,"नम्रता से पूछो, सेवा करो, ज्ञानी से सीखो",Learn from wise by humble inquiry and service,भ्रम हो तो गुरु से पूछो - ज्ञानी लोग तुम्हारा मार्गदर्शन कर सकते हैं,confusion,Bhagavad Gita
18,61.0,ईश्वरः सर्वभूतानां हृद्देशेऽर्जुन तिष्ठति,ईश्वर सबके हृदय में विराजमान है,The Lord is situated in everyone's heart,भ्रम में हो तो अपने अंतर्मन की आवाज़ सुनो - जवाब अंदर ही है,confusion,Bhagavad Gita
10,10.0,तेषां सततयुक्तानां भजतां प्रीतिपूर्वकम्,"जो निरंतर मुझसे प्रेम से जुड़े हैं, उन्हें मैं ज्ञान देता हूँ","To those constantly devoted with love, I give understanding",भ्रम दूर करने के लिए श्रद्धा और प्रेम से जुड़ो - स्पष्टता आएगी,confusion,Bhagavad Gita
5,21.0,बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम्,"जो बाहरी सुखों में आसक्त नहीं, वह आत्मा में सुख पाता है",One not attached to external pleasures finds happiness within,"सच्ची खुशी बाहर नहीं, अंदर है - अपने आपको जानो",happiness,Bhagavad Gita
6,27.0,प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम्,शांत मन वाला योगी परम सुख पाता है,The yogi with peaceful mind attains highest happiness,"खुशी का रास्ता है शांत मन - ध्यान करो, अपने अंदर झाँको",happiness,Bhagavad Gita
